Anio,Mes,DEPARTAMENTO,Region,IPC_Regional_Actual,IPC_Regional_Anterior,Inflacion_regional,Proporcion_Regional,Poblacion_pais,Poblacion_Dpto,Prop_Depto,Contribucion_Inflacion_Depto
2022,Enero,Jutiapa,Reg IV,212.98,207.5,2.640963855,0.393779316,17357886,558105,0.032152821,0.084914438
2022,Febrero,Jutiapa,Reg IV,214.11,208.42,2.730064293,0.393779316,17357886,558105,0.032152821,0.087779268
2022,Marzo,Jutiapa,Reg IV,217.01,209.08,3.792806581,0.393779316,17357886,558105,0.032152821,0.121949431
2022,Abril,Jutiapa,Reg IV,217.45,209.99,3.552550121,0.393779316,17357886,558105,0.032152821,0.114224508
2022,Mayo,Jutiapa,Reg IV,218.93,210.64,3.935624763,0.393779316,17357886,558105,0.032152821,0.126541438
2022,Junio,Jutiapa,Reg IV,226.94,211.01,7.549405241,0.393779316,17357886,558105,0.032152821,0.242734675
2022,Julio,Jutiapa,Reg IV,227.57,211.36,7.669379258,0.393779316,17357886,558105,0.032152821,0.246592178
2022,Agosto,Jutiapa,Reg IV,228.73,211.24,8.279681878,0.393779316,17357886,558105,0.032152821,0.266215129
2022,Septiembre,Jutiapa,Reg IV,229.96,211.28,8.841347974,0.393779316,17357886,558105,0.032152821,0.284274278
2022,Octubre,Jutiapa,Reg IV,233.71,211.55,10.475065,0.393779316,17357886,558105,0.032152821,0.336802889
2022,Noviembre,Jutiapa,Reg IV,234.16,212.13,10.38514119,0.393779316,17357886,558105,0.032152821,0.333911585
2022,Diciembre,Jutiapa,Reg IV,235.01,212.73,10.47337,0.393779316,17357886,558105,0.032152821,0.33674839
2022,Enero,Petén,Reg VIII,156.42,153.57,1.855831217,1,17357886,631305,0.036369924,0.067496441
2022,Febrero,Petén,Reg VIII,156.92,153.55,2.194724845,1,17357886,631305,0.036369924,0.079821977
2022,Marzo,Petén,Reg VIII,158.34,153.77,2.971971126,1,17357886,631305,0.036369924,0.108090365
2022,Abril,Petén,Reg VIII,160.11,153.76,4.129812695,1,17357886,631305,0.036369924,0.150200975
2022,Mayo,Petén,Reg VIII,161.86,154.52,4.75019415,1,17357886,631305,0.036369924,0.172764202
2022,Junio,Petén,Reg VIII,163.81,154.7,5.888817065,1,17357886,631305,0.036369924,0.214175831
2022,Julio,Petén,Reg VIII,165.69,155.03,6.876088499,1,17357886,631305,0.036369924,0.250082818
2022,Agosto,Petén,Reg VIII,167.41,156.14,7.217881388,1,17357886,631305,0.036369924,0.2625138
2022,Septiembre,Petén,Reg VIII,169.12,156.64,7.967313585,1,17357886,631305,0.036369924,0.289770592
2022,Octubre,Petén,Reg VIII,170.62,156.89,8.751354452,1,17357886,631305,0.036369924,0.318286099
2022,Noviembre,Petén,Reg VIII,170.3,157.81,7.914580825,1,17357886,631305,0.036369924,0.287852706
2022,Diciembre,Petén,Reg VIII,170.72,157.01,8.731927903,1,17357886,631305,0.036369924,0.317579557
2022,Enero,Quetzaltenango,Reg VI,139.86,136.55,2.424020505,0.224484958,17357886,923211,0.053186834,0.128925976
2022,Febrero,Quetzaltenango,Reg VI,139.99,135.62,3.222238608,0.224484958,17357886,923211,0.053186834,0.17138067
2022,Marzo,Quetzaltenango,Reg VI,141.93,136.18,4.222352768,0.224484958,17357886,923211,0.053186834,0.224573575
2022,Abril,Quetzaltenango,Reg VI,142.74,136.43,4.62508246,0.224484958,17357886,923211,0.053186834,0.245993493
2022,Mayo,Quetzaltenango,Reg VI,145.27,136.45,6.463906193,0.224484958,17357886,923211,0.053186834,0.343794705
2022,Junio,Quetzaltenango,Reg VI,147.77,136.9,7.940102264,0.224484958,17357886,923211,0.053186834,0.4223089
2022,Julio,Quetzaltenango,Reg VI,149.27,137.37,8.662735677,0.224484958,17357886,923211,0.053186834,0.460743484
2022,Agosto,Quetzaltenango,Reg VI,150.8,137.61,9.585059225,0.224484958,17357886,923211,0.053186834,0.509798953
2022,Septiembre,Quetzaltenango,Reg VI,150.48,137.96,9.07509423,0.224484958,17357886,923211,0.053186834,0.48267553
2022,Octubre,Quetzaltenango,Reg VI,151.47,138.59,9.293599827,0.224484958,17357886,923211,0.053186834,0.494297151
2022,Noviembre,Quetzaltenango,Reg VI,152.16,139.36,9.184845006,0.224484958,17357886,923211,0.053186834,0.488512826
2022,Diciembre,Quetzaltenango,Reg VI,152.78,140.07,9.074034411,0.224484958,17357886,923211,0.053186834,0.482619161
2022,Enero,Quiché,Reg VII,205.68,197.69,4.04168142,0.435510129,17357886,1100815,0.063418725,0.256318283
2022,Febrero,Quiché,Reg VII,206.62,201.11,2.739794143,0.435510129,17357886,1100815,0.063418725,0.173754251
2022,Marzo,Quiché,Reg VII,209.72,201.49,4.084569954,0.435510129,17357886,1100815,0.063418725,0.259038219
2022,Abril,Quiché,Reg VII,210.09,200.62,4.720366863,0.435510129,17357886,1100815,0.063418725,0.299359648
2022,Mayo,Quiché,Reg VII,211.97,200.59,5.673263872,0.435510129,17357886,1100815,0.063418725,0.359791162
2022,Junio,Quiché,Reg VII,220.36,201.8,9.197224975,0.435510129,17357886,1100815,0.063418725,0.583276282
2022,Julio,Quiché,Reg VII,225.71,202.48,11.47273805,0.435510129,17357886,1100815,0.063418725,0.72758642
2022,Agosto,Quiché,Reg VII,225.93,203.5,11.02211302,0.435510129,17357886,1100815,0.063418725,0.699008355
2022,Septiembre,Quiché,Reg VII,225.54,203.99,10.56424335,0.435510129,17357886,1100815,0.063418725,0.669970844
2022,Octubre,Quiché,Reg VII,227.54,204.4,11.32093933,0.435510129,17357886,1100815,0.063418725,0.717959539
2022,Noviembre,Quiché,Reg VII,225.05,205.56,9.481416618,0.435510129,17357886,1100815,0.063418725,0.601299354
2022,Diciembre,Quiché,Reg VII,224.7,205.74,9.215514727,0.435510129,17357886,1100815,0.063418725,0.584436195
