DEPARTAMENTO,Anio,ISR,IVA,TOTAL,Proporcion_ISR,Proporcion_IVA,Proporcion_Otros_Impuestos,Poblacion,Recaudacion_Per_Capita_TOTAL,Recaudacion_Per_Capita_IVA
Baja Verapaz,2024,18.01430394,35.65928331999989,80.4697016300005,0.223864,0.443139,0.332996,350078,229.86220679391593,101.86096618467855
Chimaltenango,2024,122.87004738999998,272.17965776000005,543.500721295,0.226072,0.50079,0.273139,784346,692.9349053797686,347.01478398563904
Chiquimula,2024,128.18074776,172.87109366,394.29567731499895,0.325088,0.43843,0.236482,465067,847.8255333425053,371.71223428022205
El Progreso,2024,45.64252487,60.49653983999991,151.77516003999997,0.300725,0.398593,0.300682,198129,766.0421242725697,305.33914691943085
Escuintla,2024,363.67973155,916.5476205499999,1549.50324618,0.234707,0.591511,0.173782,834026,1857.8596424811694,1098.9437026543537
Guatemala,2024,28126.509299820096,48396.24285522061,96916.0509054192,0.290215,0.499363,0.210422,3679326,26340.707756099673,13153.562053272966
Huehuetenango,2024,137.30946717,191.62741856000002,475.72602583499497,0.288631,0.40281,0.308558,1480901,321.24093766902377,129.39920937321267
Izabal,2024,112.34168375000002,195.25270689,409.8648645399991,0.274094,0.476383,0.249522,463785,883.7389405435688,420.99832226139273
Jalapa,2024,34.267946990000006,58.0405503499999,132.71008743099998,0.258217,0.437348,0.304435,420247,315.79068364794983,138.1105643823749
Jutiapa,2024,49.5965866,131.1848940199998,269.91987171,0.183746,0.486014,0.33024,569668,473.8196137223786,230.28306666338955
Petén,2024,69.45830209999998,116.13286681999979,263.81172874999794,0.263287,0.440211,0.296501,648934,406.5309087672983,178.95944243944652
Quetzaltenango,2024,327.69393349999996,641.068781519999,1324.25280030701,0.247456,0.484098,0.268446,949371,1394.8738694430417,675.2563344783009
Quiché,2024,104.25277613999998,132.59519751,328.4016394900019,0.317455,0.403759,0.278786,1137777,288.6344507667161,116.53882747673752
Retalhuleu,2024,85.20031525,147.80989800999998,305.316245860001,0.279056,0.484121,0.236823,391830,779.2058950565322,377.2296608478166
Sacatepequez,2024,274.69691459999996,376.835701950001,785.163054525,0.34986,0.479946,0.170195,414502,1894.232246225591,909.1287905727861
San Marcos,2024,78.68740212999998,152.8400206800002,356.68339354999694,0.220609,0.428503,0.350888,1239504,287.76300322548127,123.30740415521065
Santa Rosa,2024,44.05208588,88.42088435000001,189.280817200002,0.232734,0.467141,0.300125,462019,409.68189013872154,191.37932498447034
Sololá,2024,78.17928434,68.7761948599998,183.23062153000097,0.426672,0.375353,0.197975,494590,370.46972548980165,139.05698631189432
Suchitepequez,2024,108.58678860999999,157.119093400001,342.31986912600007,0.317209,0.458983,0.223808,633263,540.5650876902646,248.11033235796342
Totonicapan,2024,65.60641294999999,86.8281958699998,210.91813185000103,0.311052,0.411668,0.277281,514756,409.74390167380477,168.67835609492613
Zacapa,2024,108.04520833,240.05225355,590.9367998999859,0.182837,0.406223,0.41094,278581,2121.238705798263,861.6964313790244
