"","type_code","freq_code","ref_period_id","ref_year","ref_month","period","reporter_code","reporter_iso","reporter_desc","flow_code","flow_desc","partner_code","partner_iso","partner_desc","partner2code","partner2iso","partner2desc","classification_code","classification_search_code","is_original_classification","cmd_code","cmd_desc","aggr_level","is_leaf","customs_code","customs_desc","mos_code","mot_code","mot_desc","qty_unit_code","qty_unit_abbr","qty","is_qty_estimated","alt_qty_unit_code","alt_qty_unit_abbr","alt_qty","is_alt_qty_estimated","net_wgt","is_net_wgt_estimated","gross_wgt","is_gross_wgt_estimated","cifvalue","fobvalue","primary_value","legacy_estimation_flag","is_reported","is_aggregate","count"
"277","C","A",20160101,2016,52,"2016",320,"GTM","Guatemala","X","Export",804,"UKR","Ukraine",0,"W00","World","H4","HS",TRUE,"TOTAL","All Commodities",0,FALSE,"C00","TOTAL CPC","0",0,"TOTAL MOT",-1,"N/A",NA,FALSE,-1,"N/A",NA,FALSE,NA,FALSE,NA,FALSE,NA,39625682,39625682,0,TRUE,FALSE,NA
"278","C","A",20160101,2016,52,"2016",320,"GTM","Guatemala","X","Export",818,"EGY","Egypt",0,"W00","World","H4","HS",TRUE,"TOTAL","All Commodities",0,FALSE,"C00","TOTAL CPC","0",0,"TOTAL MOT",-1,"N/A",NA,FALSE,-1,"N/A",NA,FALSE,NA,FALSE,NA,FALSE,NA,20509142,20509142,0,TRUE,FALSE,NA
"279","C","A",20160101,2016,52,"2016",320,"GTM","Guatemala","X","Export",826,"GBR","United Kingdom",0,"W00","World","H4","HS",TRUE,"TOTAL","All Commodities",0,FALSE,"C00","TOTAL CPC","0",0,"TOTAL MOT",-1,"N/A",NA,FALSE,-1,"N/A",NA,FALSE,NA,FALSE,NA,FALSE,NA,107728897,107728897,0,TRUE,FALSE,NA
"280","C","A",20160101,2016,52,"2016",320,"GTM","Guatemala","X","Export",834,"TZA","United Rep. of Tanzania",0,"W00","World","H4","HS",TRUE,"TOTAL","All Commodities",0,FALSE,"C00","TOTAL CPC","0",0,"TOTAL MOT",-1,"N/A",NA,FALSE,-1,"N/A",NA,FALSE,NA,FALSE,NA,FALSE,NA,1259333,1259333,0,TRUE,FALSE,NA
"281","C","A",20160101,2016,52,"2016",320,"GTM","Guatemala","X","Export",842,"USA","USA",0,"W00","World","H4","HS",TRUE,"TOTAL","All Commodities",0,FALSE,"C00","TOTAL CPC","0",0,"TOTAL MOT",-1,"N/A",NA,FALSE,-1,"N/A",NA,FALSE,NA,FALSE,NA,FALSE,NA,3653636687,3653636687,0,TRUE,FALSE,NA
"282","C","A",20160101,2016,52,"2016",320,"GTM","Guatemala","X","Export",858,"URY","Uruguay",0,"W00","World","H4","HS",TRUE,"TOTAL","All Commodities",0,FALSE,"C00","TOTAL CPC","0",0,"TOTAL MOT",-1,"N/A",NA,FALSE,-1,"N/A",NA,FALSE,NA,FALSE,NA,FALSE,NA,703740,703740,0,TRUE,FALSE,NA
"283","C","A",20160101,2016,52,"2016",320,"GTM","Guatemala","X","Export",862,"VEN","Venezuela",0,"W00","World","H4","HS",TRUE,"TOTAL","All Commodities",0,FALSE,"C00","TOTAL CPC","0",0,"TOTAL MOT",-1,"N/A",NA,FALSE,-1,"N/A",NA,FALSE,NA,FALSE,NA,FALSE,NA,38650529,38650529,0,TRUE,FALSE,NA
"284","C","A",20160101,2016,52,"2016",320,"GTM","Guatemala","X","Export",887,"YEM","Yemen",0,"W00","World","H4","HS",TRUE,"TOTAL","All Commodities",0,FALSE,"C00","TOTAL CPC","0",0,"TOTAL MOT",-1,"N/A",NA,FALSE,-1,"N/A",NA,FALSE,NA,FALSE,NA,FALSE,NA,119742,119742,0,TRUE,FALSE,NA
"285","C","A",20160101,2016,52,"2016",320,"GTM","Guatemala","X","Export",894,"ZMB","Zambia",0,"W00","World","H4","HS",TRUE,"TOTAL","All Commodities",0,FALSE,"C00","TOTAL CPC","0",0,"TOTAL MOT",-1,"N/A",NA,FALSE,-1,"N/A",NA,FALSE,NA,FALSE,NA,FALSE,NA,69436,69436,0,TRUE,FALSE,NA
"286","C","A",20160101,2016,52,"2016",320,"GTM","Guatemala","X","Export",899,"_X ","Areas, nes",0,"W00","World","H4","HS",TRUE,"TOTAL","All Commodities",0,FALSE,"C00","TOTAL CPC","0",0,"TOTAL MOT",-1,"N/A",NA,FALSE,-1,"N/A",NA,FALSE,NA,FALSE,NA,FALSE,NA,264,264,0,TRUE,FALSE,NA
